2019-05-26 18:16:21,504 [  15642]   INFO - le.impl.ModuleManagerComponent - 1 module(s) loaded in 117 ms 
2019-05-26 18:16:21,552 [  15690]   INFO - j.ide.script.IdeStartupScripts - 0 startup script(s) found 
2019-05-26 18:16:21,708 [  15846]   INFO - rojectCodeStyleSettingsManager - Initialized from default code style settings. 
2019-05-26 18:16:21,769 [  15907]   INFO - om.intellij.util.ProfilingUtil - Profiling agent is not enabled. Add -agentlib:yjpagent to idea.vmoptions if necessary to profile IDEA. 
2019-05-26 18:16:22,212 [  16350]   INFO -              PerformancePlugin - Performance Plugin is in silent mode 
2019-05-26 18:16:22,491 [  16629]   INFO - ellij.project.impl.ProjectImpl - 15 project components initialized in 22 ms 
2019-05-26 18:16:22,796 [  16934]   INFO - .diagnostic.PerformanceWatcher - Post-startup activities under progress took 482ms; general responsiveness: ok; EDT responsiveness: ok 
2019-05-26 18:16:22,902 [  17040]   INFO - .diagnostic.PerformanceWatcher - Pushing properties took 484ms; general responsiveness: ok; EDT responsiveness: ok 
2019-05-26 18:16:23,100 [  17238]   INFO - .TypeScriptLibraryProviderImpl - Start refreshing typescript libraries 
2019-05-26 18:16:23,918 [  18056]   INFO - j.ide.ui.OptionsTopHitProvider - 379 ms spent on EDT to cache options in application 
2019-05-26 18:16:24,270 [  18408]   INFO - tartup.impl.StartupManagerImpl - /home/sarthak/Programming/gmail-automater/.idea case-sensitivity: expected=true actual=true 
2019-05-26 18:16:24,398 [  18536]   INFO -  #git4idea.commands.GitHandler - [.] git version 
2019-05-26 18:16:24,408 [  18546]   INFO -  #git4idea.commands.GitHandler - git version 2.14.1 
2019-05-26 18:16:24,421 [  18559]   INFO - ea.config.GitExecutableManager - Git version for /usr/bin/git : 2.14.1 
